title,description,city,state,zipcode,salary,company,rating,reviews
Technology Sales - Business Development,"Technology Sales - Business Development

Life is different at N3. We are driven by our passions and propelled by our quest to innovate, thrive and learn. We are the tastemakers of technology, transforming the way the world works and shaping the future of business. We work hard. We play hard. We make moves. Here, success is no accident. It’s ours to grow.

As the premier sales + marketing firm, N3 brings results and builds revenues for some of the world’s most well-known technology companies. Our teams engage business makers worldwide on investing in technology infrastructure by listening to how teams use business software, discovering decision makers’ wish lists and influencing customers’ solution selections.

Role: N3 Technology Sales - Business Development

Essentials:
Engaging with customers in a consultative approach
Drive sales by receiving incoming/outgoing calls & chats, 90% of the calls will be inbound
Endless curiosity in digital product markets
Understanding that closing B2B deals starts with accurately qualifying the BANT (Budget, Authority, Need, Timeline)
90% inbound calls and chats
Full Cycle sales for SMB opportunities
Wisdom to respect the importance of every phone call
Competence in learning and discussing Artificial Intelligence, Virtual Reality, Internet of Things, Software as a Service, Enterprise Resource Planning and Cloud-based solutions
Big picture thinking fueling perseverance through follow up calls, leaving voice mails, coordinating appointments, presenting metrics
Integrity of intel reported daily into CRM and of email correspondence sent on behalf of our clients
Coordinating successful go-to-market services for business owners + client stakeholders
Bachelor’s degree required
Prior sales experience preferred
Follow all N3 Information Security policies and processes as required per the job function/role of this position

Employees have grown within N3 into leadership roles to include President, VPs, Strategic Directors, Program Managers, Inside Sales Team Managers, Team Leads, Project Managers and Peer Mentors.


Data Protection Requirement

Adhere to all N3 Data Protection policies, standards, and procedures per your role. Take required continuing education courses in Data Protection at N3 for your role.

Equal Employment Opportunity

N3 recruits, hires, and promotes for all positions without regard to race, religion, color, national origin, gender, age, sexual orientation, gender identity and/or expression, handicap or veteran's status. All terms and conditions of employment such as compensation, benefits, work assignment, availability of facilities and privileges of employment are administered on the same basis of equality.

Back Share
Apply Now",Salt Lake City,UT,,,N3,3.0,87 
Sr. Energy Analyst (FTM),"As Senior Energy Analyst – Front of the Meter you are integral part of the Product Marketing Team, the hub between Sales, Product, Business Development and Finance. Reporting to the Sr. Manager of Product Marketing, you will have responsibility to articulate Stem’s value proposition through use case identification, pricing, and financial analysis across various markets. Modeling will include development of Market Participation strategies in CAISO, ISO NE, ERCOT, and other markets. As well, you will gather market requirements for Stem’s Front of Meter Storage Solutions and will inform the development of new strategies. You must demonstrate a blend of business, technical, and executional expertise. Leveraging your financial modeling core, you will be comfortable working with marketing, sales, business development, product, and finance, as well as Stem’s partners and customers. You are a doer as well as a thinker, who goes beyond the conventional to promote ideas beyond the norm.

This role is ideally located in our Millbrae, CA corporate office.

Stem is the global leader in AI-driven energy storage. With more than 800 systems on-line or being installed in 75 jurisdictions across six states and three countries, and a groundbreaking contract with Southern California Edison to deliver 85MW of grid stabilizing capacity and customer-sited energy storage, Stem has more experience installing and operating advanced energy storage systems than every other provider combined. By pairing energy storage with Artificial Intelligence (AI), Stem helps building operators and energy managers lower energy costs automatically while supporting a modernized, sustainable electric grid. Stem’s Athena, the first AI for energy storage, lets you buy electricity when it’s affordable and use it later when it’s suddenly more expensive. Athena links facilities into a powerful network that can instantly form virtual power plants that allow you to earn demand response revenue and participate in other grid modernization opportunities as soon as they arise. With Stem’s energy services agreement, customers receive guaranteed savings immediately without having to pay anything upfront. Stem manages the installation, operation, remote monitoring and maintenance. Systems are designed for safe, seamless integration into a facility. Headquartered in Millbrae, California, Stem is funded by a consortium of leading investors including the Ontario Teachers’ Pension Plan, Activate Capital, Temesek, Iberdrola, GE Ventures, Constellation Technology Ventures, Angeleno Group, RWE, Total Energy Ventures, Mithril, and Mitsui & Co., Ltd. The breadth and depth of Stem’s resources and capabilities are unmatched in the industry. Stem, Inc. is an equal opportunity employer committed to diversity in the workplace and does not discriminate against any employee or applicant for employment because of race, color, sex, pregnancy, religion, national origin, ethnicity, citizenship, sexual orientation, gender identity, age, marital status, disability, genetic information, military status, protected veteran status or any other factor protected by applicable federal, state or local laws. Stem, Inc. complies with all applicable state, federal and local laws, regulations and ordinances prohibiting discrimination in places where we operate.
Required Skills

Activities/Responsibilities:

Identify and articulate Stem’s unique offer and competitive advantage in Front of the Meter Storage Markets.
Model and analyze various value stacking strategies and scenarios to inform Stem’s energy storage value stream’s in various ISO markets.
Capture Front of the Meter market requirements for Stem’s software and hardware solutions, with a particular focus on CAISO, ISO New England and NY ISO.
For high-volume markets, design intuitive economic models and train Account Executives & Partners on their use.
Work cross-functionally and collaboratively with Product, Business Development and Marketing Communication to articulate the Stem value proposition to sales, partners, and customers.
Create, maintain and run sophisticated pricing and economic models (MS Excel & Python) to assess project economics.
Conduct quantitative and qualitative analysis to help prioritize potential new markets, segments, and customers
Work closely with Stem’s partners and asset owners to analyze and recommend market participation opportunities, including forward capacity market, forward reserves market, day ahead and real-time energy, and frequency regulation.

Required Experience

Required Experience and Attributes:

Bachelor's degree or equivalent practical experience.
High Proficiency using financial modeling instruments such as MS Excel & Python.
Experience with building financial and economic models, preferably in the renewable and/or storage industry.
Ability to work autonomously, focusing on key outcomes amidst competing priorities and tight deadlines.
High Proficiency in Excel including INDEX MATCH, Data Tables, VBA
Ability to think across disciplines and functional expertise
Displays enthusiasm.


Desired Skills:

Direct experience in energy industry, preferably at developer, retail energy provider, energy trading provider or consultant level or other related services focusing on market analytics and evaluation.
Experience and familiarity with industry standard techniques and modeling tools for Solar + Storage (for example, Energy Toolbase, Helioscope, PVWatts).
Ability to work autonomously with excellent time management skills, focusing on key outcomes amidst competing priorities and tight deadlines.
Ability to think across disciplines and functional expertise.
Ability to embrace ambiguity in a start-up environment.
Python experience
Energy trading
MBA degree",Millbrae,CA,94030,,Stem Inc,3.2,5 
Data Scientist,"Ascendum Digital
Data Scientist (NLP)
Cincinnati, OH 45242 (Remote available)
Direct Hire

Description:
Ascendum Solutions is looking for a Data Scientist, with strong NLP/NLU/NLG background to develop and maintain the NLP/NLU engine of our AI infrastructure to support several projects and company initiatives.

Required Skills:
Candidate must have
+3 years of experience with NLP/NLU – developing models/algorithms and improving its results for extracting intents, entities, topic modeling, user-defined entities, multi-languages, sentiment analysis, emotion analysis, etc.
+2 years of experience with Python (Neural Networks, NLTK, Spacy, Tensorflow, PyTorch, BERT
LSTM, etc.)
Critical thinker and problem-solving skills
Team player, good time-management skills
Great interpersonal and communication skills.


Additional Preferred Skills:
Linguistics or Statistics is preferred
SQL
Data Analytics
Data Engineering
Machine learning
Data Visualization
Data Modeling",Cincinnati,OH,45242,,Ascendum,3.6,26 
"BUSINESS DEVELOPMENT MANAGER, SURGICAL","You can apply to multiple jobs at once using the shortlist tool. You currently have 0 jobs shortlisted.
Cambridge Consultants offers advanced product development, technical and regulatory advisory services and is founded on science and technology inventiveness. We are a multinational, fee-for-service organization comprised of top-class engineers, designers, scientists, regulatory advisors, and market experts who thrive on curiosity, problem solving, and genuine interactions.
Our Medical Technology Team is seeking a US West based business development professional to drive business in medical markets such as smart implants, neuroscience, Artificial Intelligence/Machine Learning, and digital health applications. As part of our continuing business growth we are expanding our regional team in the Western half of the US and offering this complex, interesting position combining business acumen, clinical understanding, and technical astuteness.
Join Us
We need entrepreneurial, motivated, success-oriented team players who are looking to roll up their sleeves and help build our commercial offering in this region; this role will require tenacity, patience and focus as you build new and meaningful client relationships throughout the West Coast, Mountain, and Southwestern regions. With offices based in Seattle and San Francisco, we operate as part of a large global business, working very closely with our colleagues from around the globe. We offer the flexibility of being based within one of our West Coast offices, or within one of our critical US West market areas.
We function collectively, identifying and building new business opportunities and continuously expanding our operations. This role is an opportunity to join our growing, founding team. Being ‘in at the start’ is a tremendous personal development opportunity and you will be provided supportive, empowering leadership to facilitate your personal growth. If you combine clinical insight, relevant technical expertise, excellent critical thinking, and domain knowledge in key medical or surgical technology areas then we would like to hear from you.
You will be an ideal candidate if you have experience developing a pipeline of business in the medical or life sciences sectors for a fee-for-service organization. You have a deep understanding of technology, product development, and relevant market trends and are passionate about helping clients realize business transformation through technology. You are accustomed to working with both well-established blue-chip organizations as well as startups.
We have great benefits, including supporting a priority towards maintaining a healthy work life balance and a commitment to personalized career development through tailored professional training and mentoring.
Responsibilities
New Business: Prospect and identify companies that are good potential clients and proactively network to establish initial contact, acquire new client relationships, attend industry meetings and conferences
Capability Presentation: Build and maintain a thorough understanding of Cambridge Consultants’ full services offering, arrange and lead meetings presenting our capabilities, collaborate with our technical and program delivery teams to assess client needs
Pipeline Development: Leverage market expertise and collaborate with global technical teams and marketing to develop and communicate messages to target markets; execute messaging via events, social media, white papers, blogs, etc.
Growth Strategy: Share market insights to guide overall growth strategy and investments; frequently monitor our business capability landscape to identify opportunities for greater long-term business value
Key qualifications
Proven success in a business development role within the medical sector
A network of clients and the skills to hunt for new business
Evidence of success developing and maintaining relationships with C-level stakeholders
A preference for pursuing new business over cultivating existing accounts
Expert communication (verbal & written), organizational, and collaboration skills
Ability to regularly travel domestically and internationally up to 50%
Preferred qualifications
Advanced degree in technical, engineering, or science discipline
Previous work in a fee for service product development organization
Experience with consultative selling engineering services for one of the following applications: neuroscience / smart Implants and advanced surgical and medical systems
Clinical understanding of one or more of the following: neurology and the neurosciences, advanced surgical systems, Artificial Intelligence, Machine Learning, wireless and remote powered implants, complex implantable devices
Benefits
Choice of medical dental and vision plans
Flexible spending accounts
18 vacation days for full time employees
Competitive base salary
Pay for performance
Profit share bonus plan based on company and individual performance
401K with discretionary company match
Life Insurance
Relocation assistance, if applicable",San Francisco,CA,,,Cambridge Consultants Ltd,3.8,9 
Backend Engineer/Machine Learning,"Wavely is hiring a machine learning engineer to work on recommendations. Recommendations is the core of our product. We hope you can help us in building an app that users love.What you’ll doFully understand Wavely’s product goalsMaintain, develop services and API layerAdjust weights and algorithms and run A/B tests and work on outcomesPlan, develop new machine learning projects according to our business needsWe hope youHave 2+ years of experience building machine learning models used in productionBe proficient with JavaExperience as a tech lead in an engineering teamJob Type: Full-timePay: $129,662.00 - $203,566.00 per yearBenefits:401(k)401(k) MatchingDental InsuranceFlexible ScheduleHealth InsuranceLife InsurancePaid Time OffVision InsuranceSchedule:Monday to FridayLanguage:Mandarin (Required)Benefit Conditions:Only full-time employees eligibleWork Remotely:Temporarily due to COVID-19",San Mateo,CA,,"$129,662 - $203,566 a year",WAVELY,,
Machine Learning Engineer,"Machine Learning Engineer (Contract-to-Hire)
Blinker has developed a patented, differentiated transactional platform and operations to support sellers, buyers and borrowers in the Automotive sector. Specifically, Blinker provides end-to-end digital transactional capabilities for purchase/sale transactions and related finance and insurance services to buyers on the platform. Leveraging proprietary image recognition, AI and back office technology, Blinker delivers a streamlined user experience including vehicle valuation, listing, loan pre-qualification, lien payoff, ownership transfer, loan funding, insurance coverage, and more. Blinker has generated highly-rated customer satisfaction scores with customers receiving substantial economic benefits compared to conventional dealer channels.

Blinker is looking for a talented Machine Learning Engineer to develop and enhance advanced image recognition and data analysis products for the consumer market. In this role, the candidate will participate in the design, prototyping, and deployment of machine learning solutions. Successful candidates will have prior hands-on experience and demonstrated results in architecting, training, and validating neural networks or similar technologies.

In addition to technical expertise, proven ability to work in a collaborative environment is critical. The candidate must have a demonstrated strong drive to accomplish high-impact results, set tough goals for himself/herself and execute to them, be energetic, have a positive attitude, take pride in achievements, and be straightforward in dealing with others in a direct and productive manner. Excellent communication skills are required.

What you’ll be doing:
Updating and maintaining existing computer vision and other machine learning based models
Working on machine learning systems architecture and cloud infrastructure
Building new models for various machine learning needs
Building tools to measure and improve model performance

What we’re looking for:
MS in Computer Science (or equivalent experience) with focus on Computer Vision and/or Machine Learning
Strong experience in image recognition algorithms
Proficient with OpenCV
Proficient with TensorFlow / Keras / Fast.ai or similar framework
Hands-on coding experience in Python/C++
Demonstrated results in developing innovative and creative prototypes and applications

EXPERIENCE IN ONE OR MORE OF THE FOLLOWING IS REQUIRED:
Object detection, identification, tracking and recognition
Classifiers (usage and training)
OCR (usage and training)
Pose estimation
Image registration
Convolutional Neural Networks / Deep Learning
Packaging / deployment of Machine Learning solutions for production applications (TensorFlow Serving or similar)
About Blinker Engineering:
Our Engineering Team Core Values
Engineering @ Blinker

Why Blinker?
Highly competitive benefits - We regularly review our compensation brackets to make sure they are highly competitive with the top 30% of the Denver market. We have high expectations of our engineers, and we want to make sure they are rewarded for meeting them. Our benefits package is great (including fantastic health insurance), and we offer unlimited paid-time-off. We offer stock options to share in the success of the business. And of course, we have the typical startup on-site goodies like snacks, beer, and even a cold-brew coffee tap.
Modern technology with quality - We try to stay ahead of the technology curve, while being pragmatic about production readiness and community support. We care deeply about developer happiness, productivity, and experience .We are heavily investing in Elixir, an amazing functional language built on top of Erlang and the BEAM VM. We are also heavily investing in Typescript, a flexibly typed language that’s fully interoperable with JavaScript. We use modern DevOps tools like Terraform, Docker, Kubernetes, CircleCi, as well as cloud hosting on AWS for a great developer operations experience. We apply various testing strategies to ensure our code continues to meet functional requirements, and retains its high quality as it grows.
Develop your career - We take career development seriously. We have three main paths for engineers (Core Contributor, Technical Leadership, People Leadership) and each of those has multiple titles, with compensation brackets and associated responsibilities and opportunities. We integrate feedback through manager 1v1s, performance reviews, and anonymous engineering team surveys. We want our engineers to succeed and not only build great things at Blinker, but significantly grow their careers at the same time.
Healthy, transparent, results-oriented workplace - We try to limit heavy-handed processes and overly prescriptive planning. We limit meetings, favoring ad-hoc and proactive communication. We care deeply about the team “vibe” and ensure we have an inclusive, fun, and engaging environment for everyone. We believe information is critical for our team to succeed, and we build tools to democratize data and support an open and honest environment. In our autonomous workplace, engineers make important decisions everyday and must feel they have the right amount of information to make those decisions - which is why we favor transparency.
Powered by JazzHR
Rmm0hbf8kj",Denver,CO,80202,"Full-time, Contract",Blinker Inc.,,
Product Director: SecureX,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today, but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.
Who You'll Work With
As part of this effort, you will work with Cisco Security product management team as well as Sales, Product Marketing, CX, and Engineering teams Who You are
Be dynamic and creative, and willing to take on any challenge, work across teams and make a big impact. Possess a results-oriented skillset. While the ideal candidate understands the inbound activities involved in building great products, you prefer to focus your energy outbound on growing sales and adoption of products.
You will have a passion for helping customers and partners of all shapes and sizes and understand how our products and services can help improve their businesses.
Be passionate about technology and security and crafting coherent value propositions that make sense to customers. What you'll do
Work with product marketing to provide clearly differentiated product messaging and competitive positioning/packaging
Analyze market segments, verticals, sizing and ideal customer targets, and design forward-thinking positioning approaches for each segment.
Curate and design message maps, theme calendars, and other artifacts to communicate the product messaging and GTM objectives to the x-functional team.
Define and direct the product content creation priorities for GTM initiatives.
Test and assure impact of product market narrative and product assets, programs
Drive seller and customer buyer/influencer feedback loops to synthesize feedback and adjust the assets, materials, and programs.
Define and test product positioning and messaging for new features and products that communicates their benefits and highlights our differentiation – directly with buyers.
Identify, collect, and prioritize GTM investments in coordination with platform Product Mangers. Continually track asks vs. gaps in funding.
Define compelling product-focused content that articulate value, use cases, competitive differentiation and benchmarking (customer case studies and videos, whitepapers, presentations, and more). Partner with Marketing to execute and test these with customers, sellers, and partners.
Illustrate GTM goals and impact in bookings $s, pipeline created, and ROI metrics and other indicators of programmatic success.
Collaborate and partner to execute Cisco-scale go-to-market
Partner with Product Marketing and Customer Success to drive the launch of new products, features and releases and manage customer, partner, and seller communications.
Support and coordinate with SBG Business Development on technical alliances and ecosystem partnerships.
Partner and collaborate with Technical Marketing and sales to deliver internal enablement activities, support trade shows and interact with customers
Partner with Technical marketing to prioritize the execution of technical content (technical videos, white papers, how-to guides, comparison tools, sizing guidelines and more) congruent with the key market themes and focus areas.
Partner with the Competitive team(s) to provide sales and partner assets (first call decks, battle cards, videos, white papers, and more)
Partner with Field Marketing, Channels and Distribution teams in building content for awareness/website/promotional materials and monitor the results of product launches, evangelism activities and marketing campaigns to reach target audiences effectively
Partner with sales BDM and other functions to measure results of programs and initiatives.
Continuously and transparently measure the results
Connect GTM initiatives and demand creation activities to funnel creation and sales, renew, adopt cycle progression metrics for security hardware, software subscriptions, and related services. Qualifications
10+ years of relevant work experience as a Product Manager in a B2B environment, plus at least 8 years in related fields such as product marketing, technical marketing, technical pre-sales, or consulting
MBA degree in marketing, business, technology, or relevant field of study such as computer science
Demonstrated track record in crafting compelling positioning, messaging, content and programs.
Ability to easily transition from high-level strategic thinking to creative and detailed execution
Demonstrated ability to work independently and autonomously
Superior written and verbal communication skills
Strong leader and negotiator who can drive consensus and articulate program recommendations and tradeoffs to other leaders
Prior industry experience in Cybersecurity is desired We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool.
#LI-JS1",San Jose,CA,,,Cisco Systems,4.1,5772 
Data Scientist- Apple Cloud Services,"Summary
Posted: Aug 17, 2020
Weekly Hours: 40
Role Number:200185092
We are seeking an energetic and self-driven, Full Stack Data Scientist to work on the next-gen data products on our iCloud data team. As a member of our fast-paced group in Apple, you will have an outstanding and exciting opportunity to craft the systems that allow our products to delight and inspire millions of Apple’s customers every day.
This is a hands-on, full stack data scientist role to provide data driven insight to improve revenue, margin and customer experience of our iCloud services. This role will build data engineering assets and statistical/machine learning models to surface actionable business insights and communicate results and ideas to key decision makers.
This role requires working closely with cross functional teams such as marketing, finance, product engineering teams, understand their processes and analytic needs and provide insights that benefit Apple.
Key Qualifications7 + years demonstrated ability in analyzing data and reporting.Strong data mining and statistical modeling background.Proven mathematical knowledge understanding of machine learning techniques such as regression, time series analysis, clustering, decision tree techniques.Recent experience with building models such as Forecasting growth, Predicting churn, Customer clustering and detecting anomaly.Experience in data engineering in Big Data systems.Expertise in crafting Data Models for high performance and scalabilityExperience with Spark, Hadoop or other distributed frameworksExperience in high-level programming language for analysis (e.g Python, R, Scala)
Additional Success Factors:Understanding Subscription based business.Excellent written and verbal communication skills.Self motivated, independent and proactiveAbility to work with cross functional teams, set priorities and lead multiple projects simultaneously with critical timelines.
Description
- Performing adhoc data analysis
- Build data engineering assets using Scala, Python and other big data SQL technologies
- Program in Java/Python/R to develop predictive and forecasting models
- Device advanced statistical/machine learning methods to improve current KPIs
- Operationalize the data engineering and machine learning models
- Build visualizations to communicate insights and analytics findings.
Education & Experience
- BA/BS/BE in a quantitative field (Statistics, Computer Science, Ops Research etc.)
- Masters or PhD in Statistics/Mathematics is a plus
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other legally protected characteristics. If you'd like more information about your EEO rights as an applicant, please click here. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants. For more information, please click here.
Apple will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law. If you are applying for a position in San Francisco, please click here.
Apple participates in the E-Verify program in certain locations as required by law. Learn more.
Apple is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities. Learn more.
Apple is a drug-free workplace. Learn more.",Santa Clara Valley,CA,95014,,Apple,4.2,9782 
"Director, AI Operations, Product Support Operations","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Product Support Operations (PSO) plays a critical role in the product lifecycle at Facebook, from ideation, to development, launch, growth, help, and support. The team partners closely with product, engineering, data science and global ops teams to improve the user experience and ensure that every product experience is safe, reliable, and supported at scale. Facebook is looking for an experienced leader to lead Product Delivery of our Product Data Operations team within Global Ops. Our team is responsible for building the next generation of Facebook’s products and foundational technology through machine learning, data annotation, measurements, and experiments across Facebook’s Family of Apps. This individual will assume global leadership responsibilities in developing a leadership team of managers and enabling our global team of specialists to execute on ambitious goals. This leader will drive cross-functional partnerships with product, engineering, and operations to improve product development, efficiency and scalability of our operations. Candidates will have strong judgment and a passion for improving the product experience for our global community of 2.5 billion. Vision, flexibility, operational rigor and the ability to lead through change are essential.

Set vision and strategy and drive execution of an evolving operating model as we support our rapidly growing suite of products for our global community
Work in close partnership with and influence strategic investments with cross-functional stakeholders including but not limited to product & engineering, data science, policy, process teams, systems/tooling, PR, data/analytics and finance
Manage and drive innovation in our AI operations efforts across the full suite of Facebook products, going upstream in partnership with product and engineering to influence the product development cycle
Rigorously set and measures operational metrics and outcomes, and continually improves processes through industry-leading methods
Partner with global ops leadership, HR, learning & development & recruiting to develop and execute on a holistic people strategy to attract, retain and develop top talent and role model leadership best practices
Provide strong and visionary leadership to your teams, enhance and develop a strong team culture of trust and commitment to impact in how we support our community, defining north star for world class AI operations

Proven track record of leadership with 15+ years experience in corporate, product, or AI operations
10+ years of people management experience, including 5+ years experience managing managers and a global team
BS in technical or operational discipline

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.
Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",Sunnyvale,CA,,,Facebook,4.2,584 
BUSINESS INTELLIGENCE REPORT WRITER,"WHAT WE ARE LOOKING FOR:

LendUS is seeking a Business Intelligence Report Writer who will be responsible for report creation with report writing tools in Microsoft Reporting Services (SSRS and Report Designer). Business Intelligence Lead will drive the definition, implementation and maintenance of processes and tools to support tactical and strategic decisions working closely with cross functional teams including Marketing and Finance. The position is open for remote work.

Be the subject matter expert and primary point of contact for analytics and reporting.
Define and manage reporting and analysis.
Produce ongoing standard reports for business.
Assist in reporting automation, design and run queries for custom analysis and data requests, and maintain dashboards and general reporting activities.
Proactively identify additional reporting or metrics.
Develop improvements for making reporting easier, create and improve reporting templates.
Create methods for conveying data that enables end-user to clearly understand results.


Years of Experience Type of Experience Required/Preferred

2-3 Operations/Reasearcher/Analyst Required

2-3 SQL Server Reporting Services(SSRS) Required

1+ SQL query development Required

1+ Dashboard creation Required


WHO WE ARE:

ONE NAME – LendUS was created as a collaboration between RPM Mortgage and American Eagle mortgage, two well-established mortgage companies with likeminded veterans. Recognized as a Top 100 Mortgage Company in America, along with a national leadership team with over 20 years of experiences, makes LendUS an industry leader in homebuying and refinancing.

ONE FAMILY – Family owned and operated, our team members and customers are all treated like family. Our #1 core value of All-In Like Family, ensures we hire team members that exemplify a “Can do, Will do” attitude, committed and approachable. We are focused on our communities and doing what’s right. With over 700 team members, with the ability to lend in 42 states, our family is standing by to assist families with home buying and refinancing needs.

ONE PURPOSE – To provide our customers with smart advice, offer a broad selection of products, simplify the often-complicated lending process, and doing so as expeditiously as possible.


LendUS is an Equal Opportunity Employer of dedicated mortgage loan professionals; offering competitive salary and benefit packages. Due to the state and federal regulation of the mortgage industry, all final candidates must consent to a background check prior to hire.

Qualifications
Skills
Behaviors
:
Motivations
:
Education
Experience
Licenses & Certifications",Alamo,CA,,,"RPM Mortgage, Inc.",,
Causal Inference and Applied Economics Scientist / Senior Scientist / Principal Scientist,"JD.com is China's largest online retailer and its biggest overall retailer, as well as the country's biggest Internet company by revenue. JD.com sets the standard for online shopping through its commitment to quality, authenticity, and its vast product offering covering everything from fresh food and apparel to electronics and cosmetics. Its unrivalled nationwide fulfillment network provides standard same- and next-day delivery covering a population of more than 1 billion - a level of service and speed that is unmatched globally. In 2017, JD had 292.5M annual active consumers and net revenue of US$55.7B. JD.com is currently on pace to become China's largest B2C e-commerce platform by 2021. JD.com is listed on the NASDAQ under the ticker ""JD"". In 2014, the year of its listing, this was the largest IPO on the NASDAQ. JD.com was the first Chinese Internet company to be included on the Fortune Global 500 List.

JD plans to strengthen its leadership position as a technology-driven company over the next 10+ years, with a focus on big data, AI technology and smart logistics, and to become the dominant e-commerce platform in China. To achieve these goals, we aim to more deeply understand consumer behavior in China, better understand what drives purchases, how to forecast demand, and how to target promotions, advertising and other efforts across the whole range of technologies available to sophisticated Chinese consumers today. As global brands enter China and as China in turn becomes more globalized, we will provide innovative ways for these brands to deliver new products, help drive new monetization strategies and provide solutions for brand safety and product authenticity. In addition, we are constantly evolving our already state-of-the-art ad-serving platform to serve digital ads across all of China. For this platform, we are developing sophisticated analytics around attribution, return and exposure. To drive this exciting agenda forward, we are looking for people with strong social science, quantitative, statistical and machine learning skills who can partner with our team in Mountain View and in Beijing to leverage the vast data and computational assets of JD (which now involves collaboration and data sharing with Baidu, NetEase, Quihoo, Sogou, Toutiao and WeChat. This powerful consortium combines the largest search, gaming, mobile-security, news-aggregation and social network companies in China).

The ideal candidate for this position will be quantitatively trained (advanced master's or PhD) with expertise in quantitative and econometric methodologies, and with a demonstrable understanding of causal inference methods. Individuals who are interested in more deeply understanding consumer behavior, ""firm"" behavior, and competition and who have a passion for solving complex business problems through the combined use of data, technology and strategy will thrive in our environment. They will also be comfortable working cross-functionally and thrive in a fast-paced organization. Interest in e-commerce and in economics/quantitative marketing/business-analytics is a plus.

Responsibilities
Help suggest, support and shape new data-driven advertising, e-commerce, and marketing products in collaboration with teams in the Growth and Monetization business units
Collaborate with teams to define relevant questions about user behavior, brand safety, user demand, advertising effectiveness, targeting, pricing, promotions, and develop and implement quantitative methods to answer those questions
Find ways to combine large-scale experimentation, statistical-econometric, machine learning and social-science methods to answer business questions at scale
Use causal inference methods to design and suggest experiments and new ways to establish causality, assess attribution and answer strategic questions using data
Help product leaders crystallize research into strategic decisions and communicate them to high level audiences

Minimum Qualifications

Fluency in data manipulation and analysis (must know SQL/Hive/Pig; expert-level knowledge of at least one of R/Matlab/Python; familiarity with infrastructure for Big Data: Hadoop, MapReduce a plus)
Training and experience in using advanced quantitative methods (statistics, econometrics, ML, RL, causal inference, experimentation)
Must understand potential outcomes framework and have familiarity with causal inference methods such as split-testing, instrumental variables, difference-in-difference methods, fixed effects regression, panel data models, regression discontinuity, matching estimators. Knowledge of structural econometric methods is a plus.
Experience with large datasets and interest in consumer behavior, e-commerce and related business questions
Ph.D in a quantitative, data-analytic field, especially economics, marketing and/or statistics and related disciplines is a must
Senior/Principal roles require minimum 2 years or more experience in a data-intensive role

About JD-Business Growth

The Business Growth Business Unit manages JD's ad-business. JD's ad-tech comprises a set of large scale publishing, programmatic ad-exchange, ad-network and data management platforms for serving digital ads on JD-owned and affiliated properties across China. JD Business Group also works on JD's marketing technology platform efforts aimed at helping brands leverage JD and its partners' large-scale data and computing assets to improve their marketing in China.

JD Business Growth research group in Silicon Valley is focused on using science to suggest, support and shape new and existing data-driven advertising, e-commerce, and marketing products. We combine large-scale experimentation, statistical-econometric, machine learning and artificial intelligence tools with social-science, economics and computer science to find innovative ways to drive growth and monetization. Some of the problems we work on include advertising attribution, recommendation systems, advertising targeting, using applied economics, causal inference, deep learning and reinforcement learning methods.

JD.com is an Equal Opportunity Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.",Mountain View,CA,94043,,JD.com,4.2,18 
